,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
18449,15-15,5,3,1,0,ND,4,b18,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18450,15-30,5,3,1,0,ND,4,f37,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18451,15-40,5,3,1,0,ND,4+,b38,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18452,30-40,5,3,1,0,ND,6,b27,f1,b1,f1,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18453,0-0,0,0,0,0,ND,6,b27,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18454,15-0,0,0,0,0,ND,5,f29,f3,f3,b3,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18455,15-15,0,0,0,0,ND,4,f19,f3,b3,b1,f3,b3,b3,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18456,30-15,0,0,0,0,ND,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18457,40-15,0,0,0,0,ND,"4w,",4,f19,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18458,40-30,0,0,0,0,ND,"4d,",6,f38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18459,40-40,0,0,0,0,ND,4,f39,b2,f3,b3,s2,b1,r;1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18460,AD-40,0,0,0,0,ND,"c6d,",4,b38,b3,b3,b3,b3,b1,f1,f3,b3,b3,b3,b1,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18461,0-0,1,0,0,0,DT,"6n,",5,b28,f2,b2,f1,f2,f3,b3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18462,15-0,1,0,0,0,DT,4,b29,f3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18463,15-15,1,0,0,0,DT,"6n,",5,b28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18464,30-15,1,0,0,0,DT,4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18465,40-15,1,0,0,0,DT,"6n,",6,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18466,0-0,1,1,0,0,ND,6,b18,f1,f3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18467,0-15,1,1,0,0,ND,"6d,",4,b29,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18468,0-30,1,1,0,0,ND,"6w,",6,s29,f3,b3,b3,s3,b3,b3,b2,f3,b2,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18469,0-40,1,1,0,0,ND,"4n,",4+,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18470,15-40,1,1,0,0,ND,4,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18471,30-40,1,1,0,0,ND,4,b38,b3,s3,b1,f1,f3,f3,b2,f1,r1,u1,f-3,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18472,40-40,1,1,0,0,ND,6,b38,b3,f2,f1,f1,f1,f1,r2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18473,40-AD,1,1,0,0,ND,"5d,",5,f39,b3,b;2,f2,f3,b3,b3,b2,f3,b3,s3,b3,b3,b1,f2,b3,s3,b3,b2,f1,f1,f1,f1,f1,f2,b3,s3,s3,s3,s2,s3,s3,s3,s+3d@,,,,,,,,,,,,,,,,,,
18474,0-0,1,2,0,0,DT,6,b28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18475,0-15,1,2,0,0,DT,"4d,",4,b37,b3,b1,f1,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18476,0-30,1,2,0,0,DT,4,f18,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18477,0-40,1,2,0,0,DT,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18478,15-40,1,2,0,0,DT,"6n,",5,f29,b3,b3,f3,b1,f1,f1,f3,b3,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18479,0-0,2,2,0,0,ND,"6n,",c5,f38,b3,s3,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18480,0-15,2,2,0,0,ND,"4n,",4,b28,b3,b3,f2,f3,b3,b1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18481,15-15,2,2,0,0,ND,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18482,30-15,2,2,0,0,ND,5,f37,b3,b2,f3,b3,f3,b3,b3,b3,y3,b-3,z=1,v1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18483,40-15,2,2,0,0,ND,4,f18,f1,f2,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18484,40-30,2,2,0,0,ND,4,b37,b1,f2,b3,b3,b2,f3,b1,f1,f3,b3,b3,y3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18485,40-40,2,2,0,0,ND,"4n,",5,f38,b3,b3,b3,s3,s+3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18486,40-AD,2,2,0,0,ND,4,b39,b3,s3,b3,b2,f1,f1,f2,f1,f1,f3,b3,s3,s3,s3,b3,b2,f3,b3,b1,f1,f1,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18487,40-40,2,2,0,0,ND,"4w,",5,f39,b3,b2,b3,f3,b3,f1,f1,f3,b3,f1,f1,f2,b3,y3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18488,AD-40,2,2,0,0,ND,5,f38,b3,s3,f3,s3,f3,b3,f1,f2,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18489,40-40,2,2,0,0,ND,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18490,AD-40,2,2,0,0,ND,4,b38,b1,f3,b1,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18491,40-40,2,2,0,0,ND,4,f28,b3,s3,b1,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18492,AD-40,2,2,0,0,ND,5,f38,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18493,40-40,2,2,0,0,ND,"4n,",4,f17,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18494,AD-40,2,2,0,0,ND,6,f39,b3,f3,b2,f1,r3,f3,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18495,40-40,2,2,0,0,ND,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18496,AD-40,2,2,0,0,ND,"6d,",4,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18497,0-0,3,2,0,0,DT,4,f28,f3,b3,b2,f3,b3,b3,b3,b3,j+2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18498,0-15,3,2,0,0,DT,6,f28,f1,f2,f1,f2,f2,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18499,0-30,3,2,0,0,DT,6,b29,f3,s2,f+3,b3,z3,m3,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18500,15-30,3,2,0,0,DT,6,f28,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18501,15-40,3,2,0,0,DT,"4d,",5,b29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18502,0-0,4,2,0,0,ND,6,s28,f1,r1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18503,15-0,4,2,0,0,ND,"4x,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18504,15-15,4,2,0,0,ND,"4d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18505,15-30,4,2,0,0,ND,4,b29,f1,f3,b3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18506,15-40,4,2,0,0,ND,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18507,30-40,4,2,0,0,ND,"6w,",5,b28,f3,b3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18508,0-0,4,3,0,0,DT,6,b28,f3,b3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18509,15-0,4,3,0,0,DT,"4n,",5,f38,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18510,30-0,4,3,0,0,DT,"6w,",6,b19,f3,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18511,40-0,4,3,0,0,DT,"4w,",4,b38,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18512,40-15,4,3,0,0,DT,6,s29,f3,b3,f3,b3,f3,b1,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18513,0-0,4,4,0,0,ND,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18514,15-0,4,4,0,0,ND,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18515,30-0,4,4,0,0,ND,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18516,40-0,4,4,0,0,ND,6,f39,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18517,0-0,5,4,0,0,DT,c4,f19,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18518,0-15,5,4,0,0,DT,4,b37,s3,b3,b3,b3,b3,b3,b3,f3,b3,b2,f3,b2,f3,b3,b3,b2,f1,f1,f1,r1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18519,15-15,5,4,0,0,DT,4,f17,f1,f2,b+3,b3,z3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18520,15-30,5,4,0,0,DT,"4w,",4,b38,b3,f3,f1,r2,f+1,l2,f=3,b3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18521,15-40,5,4,0,0,DT,6,b37,b+1,r2,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18522,30-40,5,4,0,0,DT,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18523,40-40,5,4,0,0,DT,"6x,",5,b;2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18524,AD-40,5,4,0,0,DT,4,b29,f1,f3,f2,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18525,0-0,5,5,0,0,ND,4,r18,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18526,15-0,5,5,0,0,ND,6,f39,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18527,15-15,5,5,0,0,ND,6,b;27,f+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18528,15-30,5,5,0,0,ND,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18529,30-30,5,5,0,0,ND,"4w,",6,b28,b2,f3,b1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18530,40-30,5,5,0,0,ND,6,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18531,0-0,6,5,0,0,DT,"4n,",5,b37,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18532,15-0,6,5,0,0,DT,"4n,",5,b28,f1,f2,f3,b3,f2,f1,f2,b;3,y1,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18533,15-15,6,5,0,0,DT,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18534,30-15,6,5,0,0,DT,4,b39,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18535,40-15,6,5,0,0,DT,"6w,",6,b38,b3,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18536,40-30,6,5,0,0,DT,"4n,",4,b38,b2,f2,f1,f3,s3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18537,0-0,6,6,0,0,ND,"6n,",4,f28,f2,f3,b3,f3,b3,f1,r1,f+3,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18538,1-0,6,6,0,0,DT,"4w,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18539,1-1,6,6,0,0,DT,"4n,",6,b27,f3,b1,f1,f1,f1,f3,s3,b3,b3,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18540,2-1,6,6,0,0,ND,4,b29,f3,f3,b3,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18541,2-2,6,6,0,0,ND,4,f39,b3,b3,f1,f1,f1,f2,b3,s3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18542,3-2,6,6,0,0,DT,4,b39,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18543,3-3,6,6,0,0,DT,6,b38,b;3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18544,3-4,6,6,0,0,ND,"4d,",5,b29,f3,f3,f3,b3,f3,s3,b3,s3,f1,f3,b3,s3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18545,4-4,6,6,0,0,ND,6,b27,b3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18546,5-4,6,6,0,0,DT,6,f38,b2,f2,f1,f3,b2,s2,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18547,6-4,6,6,0,0,DT,"6n,",5,b39,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18548,5-6,6,6,0,0,ND,"4d,",5,b18,f1,f1,f3,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18549,0-0,0,0,0,1,DT,6,b38,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18550,0-15,0,0,0,1,DT,"4n,",5,b38,f;1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18551,0-30,0,0,0,1,DT,"6n,",4,f18,f3,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18552,15-30,0,0,0,1,DT,6,f29,f1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18553,30-30,0,0,0,1,DT,6,b29,f3,b3,f2,f1,f1,f3,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18554,40-30,0,0,0,1,DT,4,s38,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18555,0-0,0,1,0,1,ND,"6d,",4,f29,b2,s3,b3,s2,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18556,15-0,0,1,0,1,ND,4,b38,b1,f1,f2,b2,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18557,30-0,0,1,0,1,ND,6,b39,b2,f3,y1,r-3,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18558,30-15,0,1,0,1,ND,4,b39,b3,s3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18559,30-30,0,1,0,1,ND,c6,b39d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18560,40-30,0,1,0,1,ND,"c5n,",5,b38,f2,f2,f1,f1,f1,f3,b3,s3,b1,f1,f1,f3,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18561,40-40,0,1,0,1,ND,"6d,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18562,40-AD,0,1,0,1,ND,4,b28,f1,f2,b+3,s3,z1,l3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18563,40-40,0,1,0,1,ND,4,f38,b1,l3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18564,AD-40,0,1,0,1,ND,c6,f29,f1,f1,f1,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18565,40-40,0,1,0,1,ND,"4n,",4,f18,f1,f2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18566,40-AD,0,1,0,1,ND,"c4d,",4,b38,f3,s2,f3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18567,40-40,0,1,0,1,ND,5,b38,b3,s3,b1,f1,f2,f3,b3,b1,r2,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18568,40-AD,0,1,0,1,ND,"6d,",6,f38,b3,b3,f3,b3,b3,b3,y3,s-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18569,0-0,0,2,0,1,DT,6,b37,s3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18570,15-0,0,2,0,1,DT,"4n,",4,b29,f1,r2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18571,30-0,0,2,0,1,DT,"6d,",5,b39,b3,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18572,40-0,0,2,0,1,DT,4,b1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18573,0-0,0,3,0,1,ND,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18574,15-0,0,3,0,1,ND,"5d,",4,b29,f3,b3,f1,f2,f1,f1,f1,f2,f3,s3,b+1,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18575,30-0,0,3,0,1,ND,c4,r38,b+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18576,40-0,0,3,0,1,ND,"5d,",5,f29,f2,f+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18577,40-15,0,3,0,1,ND,4,f39,b1,r1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18578,0-0,1,3,0,1,DT,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18579,15-0,1,3,0,1,DT,4,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18580,30-0,1,3,0,1,DT,6,s27,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18581,40-0,1,3,0,1,DT,6,f29,f3,b2,f1,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18582,0-0,1,4,0,1,ND,4,f29,f3,s2,f+3,m#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18583,15-0,1,4,0,1,ND,4,b19,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18584,15-15,1,4,0,1,ND,6,b28,f1,f1,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18585,30-15,1,4,0,1,ND,"4n,",5,b38,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18586,40-15,1,4,0,1,ND,4,f28,f1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18587,0-0,2,4,0,1,DT,"4n,",6,b29,b1,f1,f2,b2,s3,b3,s3,b3,b1,f1,f1,f2,b2,f1,f1,f2,b1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18588,15-0,2,4,0,1,DT,"6n,",4,b39,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18589,15-15,2,4,0,1,DT,"4w,",6,b39,b1,f2,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18590,15-30,2,4,0,1,DT,4,b37,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18591,30-30,2,4,0,1,DT,6,s29,f3,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18592,30-40,2,4,0,1,DT,4,b29d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18593,40-40,2,4,0,1,DT,6,s3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18594,AD-40,2,4,0,1,DT,"6n,",4,f27,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18595,0-0,2,5,0,1,ND,6,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18596,15-0,2,5,0,1,ND,4,b37,b1,f3,b2,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18597,30-0,2,5,0,1,ND,c6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18598,40-0,2,5,0,1,ND,5,f27,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18599,0-0,3,5,0,1,DT,6,s37,b-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18600,15-0,3,5,0,1,DT,"4n,",4,b39,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18601,30-0,3,5,0,1,DT,6,b27,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18602,30-15,3,5,0,1,DT,4,b38,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18603,40-15,3,5,0,1,DT,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18604,40-30,3,5,0,1,DT,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18605,0-0,0,0,0,2,ND,"4w,",5,f28,b1,r2,f+3,b1,v1,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18606,0-15,0,0,0,2,ND,6,f27,f3,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18607,0-30,0,0,0,2,ND,4,f38,b+3,s3,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18608,15-30,0,0,0,2,ND,4,b39,f3,b2,f3,b2,f2,f1,f1,f3,s3,f1,f2,h=3,y+1,r-1,v3,m1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
